epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2679.38,1.10087,0.44822,0.7924,0.96784,0.92462,0.9755,0.63304,1.16769,0.49032,0.79626,0.000706211,0.000706211,0.000706211
43,2742.9,1.06143,0.44191,0.79119,0.96331,0.9303,0.97824,0.64344,1.141,0.48442,0.79833,0.000642139,0.000642139,0.000642139
44,2810.92,1.07227,0.43998,0.79399,0.95799,0.93279,0.97734,0.63985,1.14573,0.4786,0.79887,0.000580459,0.000580459,0.000580459
45,2878.39,1.07005,0.44381,0.79346,0.9665,0.92897,0.97706,0.64774,1.12969,0.47417,0.79436,0.000521341,0.000521341,0.000521341
46,2942.69,1.05444,0.42935,0.79148,0.9625,0.92372,0.97628,0.63768,1.16765,0.48714,0.79848,0.000464946,0.000464946,0.000464946
47,3005.32,1.06135,0.43692,0.78878,0.96934,0.92879,0.97967,0.67729,1.01969,0.44477,0.79113,0.00041143,0.00041143,0.00041143
48,3070.96,1.02974,0.42771,0.78705,0.94165,0.9292,0.97487,0.65557,1.09694,0.4728,0.7938,0.000360938,0.000360938,0.000360938
49,3130.48,0.99525,0.41524,0.7861,0.95826,0.94091,0.97954,0.65125,1.13096,0.47345,0.79394,0.00031361,0.00031361,0.00031361
50,3191.01,0.99625,0.41051,0.78688,0.95092,0.93598,0.97794,0.67406,1.02871,0.44677,0.79271,0.000269574,0.000269574,0.000269574
51,3251.64,0.96779,0.40231,0.78347,0.95528,0.93674,0.97891,0.68183,1.01691,0.44168,0.79056,0.000228952,0.000228952,0.000228952
52,3314.48,0.97115,0.4028,0.78574,0.97526,0.92386,0.98052,0.66694,1.08551,0.45016,0.79197,0.000191855,0.000191855,0.000191855
53,3378.36,0.9593,0.39824,0.78634,0.96826,0.92439,0.97947,0.67723,1.0269,0.43913,0.79142,0.000158385,0.000158385,0.000158385
54,3438.68,0.96225,0.39795,0.78219,0.96958,0.92727,0.97966,0.67544,1.05022,0.44393,0.79219,0.000128633,0.000128633,0.000128633
55,3500.04,0.94974,0.39094,0.78526,0.97466,0.92348,0.98003,0.676,1.04655,0.44556,0.79107,0.000102681,0.000102681,0.000102681
56,3563.16,0.93801,0.39017,0.78403,0.9714,0.92638,0.97967,0.6771,1.03543,0.44319,0.79102,8.06001e-05,8.06001e-05,8.06001e-05
57,3627.04,0.93894,0.39061,0.78548,0.97063,0.92538,0.97967,0.67527,1.0495,0.44882,0.79125,6.24508e-05,6.24508e-05,6.24508e-05
58,3696.53,0.93895,0.38989,0.78327,0.96954,0.93068,0.98076,0.68004,1.03225,0.44152,0.79044,4.82828e-05,4.82828e-05,4.82828e-05
59,3758.71,0.93794,0.39244,0.78403,0.97415,0.92955,0.98092,0.68007,1.03424,0.43924,0.79053,3.8135e-05,3.8135e-05,3.8135e-05
60,3820.47,0.93463,0.38933,0.78352,0.96546,0.93167,0.97987,0.67921,1.04004,0.4441,0.79084,3.20351e-05,3.20351e-05,3.20351e-05
